region,x,y,intercept,LnP,LnPXLnP,MinT,MinTXMinT,MinTXLnP,obs,prob
1,-109.840331,32.23790785,1,0.221381992,0.000432977,7.190000057,73.2144827,0.178045427,0,0
1,-109.6635424,32.23790785,1,0.458879471,0.066721769,5.880000114,52.51243251,1.871823287,0,0
1,-109.4867538,32.23790785,1,0.219938412,0.000374984,7.380000114,76.50207125,0.169372629,0,0
1,-109.3099652,32.23790785,1,0.084065348,0.013574242,7.099999905,71.6824018,-0.986424995,0,0
1,-109.1331766,32.23790785,1,0.020880483,0.032289723,7.019999981,70.33415572,-1.507007102,0,0
1,-108.9563879,32.23790785,1,0.070551634,0.016905789,6.389999866,60.16400584,-1.008523665,0,0
1,-108.7795993,32.23790785,1,0.134006247,0.004431252,5.889999866,52.65745984,-0.483051215,0,0
1,-108.6028107,32.23790785,1,0.1212437,0.00629328,5.889999866,52.65745984,-0.575663221,0,0
1,-108.4260221,32.23790785,1,0.094491698,0.011253433,5.570000172,48.11567463,-0.735844086,0,0
1,-108.2492335,32.23790785,1,-0.029222831,0.052806536,5.46999979,46.73836016,-1.571015885,0,0
1,-108.0724448,32.23790785,1,-0.08752057,0.082998422,5.630000114,48.95165939,-2.015666259,0,0
1,-107.8956562,32.23790785,1,0.015282633,0.034332853,5.659999847,49.37234841,-1.301957588,0,0
1,-107.7188676,32.23790785,1,-0.061449952,0.068656498,5.75,50.64522886,-1.864704812,0,0
1,-107.542079,32.23790785,1,-0.055618461,0.065634524,5.989999771,54.11876763,-1.884690843,0,0
1,-107.3652904,32.23790785,1,-0.048035476,0.061806621,5.909999847,52.9481214,-1.809017536,0,0
1,-107.1885017,32.23790785,1,-0.072463147,0.074549228,5.980000019,53.97174036,-2.005879247,0,0
1,-107.0117131,32.23790785,1,-0.10858795,0.095581048,6.349999905,59.54508275,-2.385661629,0,0
1,-106.8349245,32.23790785,1,-0.131020248,0.109954677,6.539999962,62.51347115,-2.621764392,0,0
1,-106.6581359,32.23790785,1,-0.17912668,0.144172528,6.489999771,61.72531354,-2.983135012,0,0
1,-106.4813473,32.23790785,1,-0.092334606,0.085795391,6.800000191,66.69247885,-2.392050856,0,0
1,-106.3045586,32.23790785,1,-0.265138119,0.216887682,6.5,61.88254806,-3.663545062,0,0
1,-106.12777,32.23790785,1,-0.233320132,0.188264028,6.190000057,57.10139032,-3.278740271,0,0
1,-105.9509814,32.23790785,1,-0.083599068,0.080754274,6.039999962,54.85692505,-2.104740166,0,0
1,-105.7741928,32.23790785,1,0.049075827,0.022951665,5.170000076,42.72643634,-0.990274135,0,0
1,-105.5974041,32.23790785,1,-0.150357872,0.123153107,5.369999886,45.38105226,-2.364068013,0,0
1,-105.4206155,32.23790785,1,-0.204321831,0.163940551,5.579999924,48.25450211,-2.812626826,0,0
1,-105.2438269,32.23790785,1,-0.216292039,0.173777208,5.710000038,50.07750571,-2.94997104,0,0
1,-105.0670383,32.23790785,1,-0.300834805,0.251410686,6.03000021,54.7088978,-3.708692699,0,0
1,-104.8902497,32.23790785,1,-0.001801625,0.040955852,5.909999847,52.9481214,-1.472594791,0,0
1,-104.713461,32.23790785,1,0.103368528,0.009448884,6.039999962,54.85692505,-0.719956045,0,0
1,-104.5366724,32.23790785,1,-0.221769482,0.17837393,6.380000114,60.00897876,-3.271702517,0,0
1,-104.3598838,32.23790785,1,-0.266442567,0.218104378,6.860000134,67.67606347,-3.841932549,0,0
1,-104.1830952,32.23790785,1,-0.249487549,0.202555305,6.550000191,62.67170569,-3.562932286,0,0
1,-104.0063066,32.23790785,1,-0.271283954,0.222649832,6.820000172,67.01954039,-3.862886149,0,0
1,-103.8295179,32.23790785,1,-0.244239494,0.197858953,6.53000021,62.35544414,-3.512489557,0,0
1,-103.6527293,32.23790785,1,-0.21393609,0.17181853,6.369999886,59.85414429,-3.206875593,0,0
1,-103.4759407,32.23790785,1,-0.200037524,0.160489511,6.079999924,55.45104817,-2.983171398,0,0
1,-103.2991521,32.23790785,1,-0.188500613,0.151378974,6.230000019,57.70751344,-2.955622471,0,0
1,-103.1223635,32.23790785,1,-0.15911296,0.129374635,6.539999962,62.51347115,-2.843880715,0,0
1,-114.4368352,32.41469647,1,-0.931658208,1.28194954,13.52999973,221.9070787,-16.86634749,0,0
1,-114.2600466,32.41469647,1,-0.767439842,0.937050599,12.88000011,202.96408,-13.7908525,0,0
1,-114.0832579,32.41469647,1,-0.711311162,0.83153436,12.60999966,195.3438322,-12.74500327,0,0
1,-113.9064693,32.41469647,1,-0.622502327,0.67745447,12.22000027,184.5942431,-11.18276331,0,0
1,-113.7296807,32.41469647,1,-0.596746683,0.635720107,12.23999977,185.1380914,-10.84877907,0,0
1,-113.5528921,32.41469647,1,-0.553037465,0.567930084,12.31999969,187.3215367,-10.31433644,0,0
1,-113.3761035,32.41469647,1,-0.475458473,0.457019765,12.56999969,194.2273096,-9.421556105,0,0
1,-113.1993148,32.41469647,1,-0.415970087,0.380126484,12.56000042,193.9486989,-8.586328495,0,0
1,-113.0225262,32.41469647,1,-0.274831653,0.226010437,12.22999954,184.8660543,-6.46387327,0,0
